Time,usr usage
08:04:27,0.68
08:04:28,0.17
08:04:29,0.51
08:04:30,0.00
08:04:31,0.17
08:04:55,1.87
08:04:56,0.00
08:04:57,0.17
08:04:58,0.17
08:04:59,0.51
08:05:14,0.84
08:05:15,0.17
08:05:16,0.17
08:05:17,0.00
08:05:18,0.00
08:05:22,0.85
08:05:23,0.51
08:05:24,0.17
08:05:25,0.17
08:05:26,1.68
